isbn,title,publisher,publication_date,series_name,book_format,language,print_length,isbn_10,isbn_13,item_weight,length,width,height,rating,number_of_reviews,availability,price,best_sellers_rank,customer_reviews,reading_age,edition,author,asin,description,product_url,scrape_status,error_message
9.78098E+12,Winning with Accountability: The Secret Language of High-Performing Organizations,CornerStone Leadership Institute,12/10/2008,,Kindle,English,101,981924204,9.78098E+12,6.4,9,6,0.25,4.5,508,In Stock,14.2,49512,4.5,,6th,Henry J. Evans,,"Success can t happen without accountability. It is that simple. For more than 15 years, Henry Evans and his team, have worked with hundreds of organizations around the world, teaching and building accountability through classroom training and their eSchool. This book offers that same guidance to you, your colleagues and your team to reach new levels of excellence and success. In Winning with Accountability, Henry offers a step-by-step guide to help any organization improve performance by creating a culture of accountability. The strategies in this book are simple, easy to implement...and the results are immediate! It should be required reading for every member of every team. Read, enjoy, and win with accountability!  Read more",https://www.amazon.com/Winning-Accountability-Language-High-Performing-Organizations/dp/0981924204,success,
9.7806E+12,Thomas and the Green Controller (Thomas & Friends),Dean & Son,1/1/2010,,Hardcover,English,32,9.7806E+12,9.7806E+12,4.2,,,,5,2,Only 1 left in stock - order soon.,4.59,,5,,,,603565239,"When The Fat Controller is poorly, Lady Hatt puts someone new in charge. Percy - the Green Controller! He starts work and is soon bossing the other engines around, but is the job too big for a little green engine?  Read more",https://www.amazon.com/Thomas-Green-Controller-Friends/dp/0603565239,success,
9.78179E+12,My Awesome Farm Book,Make Believe Ideas,1/9/2016,,Board book,English,30,1785985094,9.78179E+12,36.96,7.87,5.51,0.39,4.6,39,,9.26,4211818,4.6,,,"Make Believe Ideas, Dawn Machell",,"Large, animal-shaped pages draw readers into this fun farm book, illustrated by Dawn Machell.  Read more",https://www.amazon.com/My-Awesome-Farm-Book/dp/1785985094,success,
9.79886E+12,Drawix : The Ultimate Art Book Anatomy for Artists: Figure Drawing Made Easy with Secrets!,Independently published,23/9/2023,,Paperback,English,98,,9.79886E+12,3.84,8,5.25,0.23,4.5,194,In Stock,16.99,54730,4.5,,,Erick Kelly,B0CJSQFDKK,"Introducing ""The Ultimate Art Book Anatomy for Artists: Figure Drawing Made Easy with Secrets!""Are you an aspiring artist looking to elevate your figure drawing skills? Look no further! Our book is designed with you in mind, offering a wealth of valuable insights into anatomy for artists.Key Features:📚 Premium Quality: Crafted on high-quality white paper, ensuring your sketches and studies are beautifully showcased.🖌️ Artist-Friendly Size: With its convenient size, this book fits perfectly into your art bag, making it an ideal companion for your creative journeys.📘 Optimal Page Count: We've carefully curated the content to provide just the right amount of material for focused learning and practice.🎁 Perfect Gift: Whether you're treating yourself or a fellow artist, this book is a thoughtful gift for anyone passionate about art and drawing.Unlock the secrets of anatomy for artists and discover the power of accurate figure drawing. This comprehensive resource covers essential topics, including poses for drawing and drawing anatomy. With ""The Ultimate Art Book Anatomy for Artists,"" you'll gain the knowledge and confidence to take your artwork to new heights.Get your copy today and embark on a journey of artistic growth and creative expression. Available now on Amazon!Keywords: anatomy for artists, artist anatomy, poses for drawing, drawing anatomy, anatomy book for artists, anatomy art book, figure drawing book.  Read more",https://www.amazon.com/Drawix-Ultimate-Anatomy-Artists-Drawing/dp/B0CJSQFDKK,success,
9.78044E+12,Guiness World Records Top 40: Incredible Collection (Guinness World Records: Top 40),Scholastic Inc.,1/3/2006,,Paperback,English,136,439810574,9.78044E+12,8,9.25,6.25,0.5,5,1,In stock,6.26,5871378,5,6,,"Laurie Calkhoven, Ryan Herndon",,Scholastic and Guinness World Records are coming together to bring the world's most inspiring achievements to kids everywhere.Fantastic! Awesome! Amazing! Dangerous! This Guinness World Records Reader Bind-Up features 40 of the most incredible records of all time. How high can you go in a glider? What's the largest fish in the ocean? Which bird the smartest? Read these Guinness World Records Readers to find out!  Read more,https://www.amazon.com/Guiness-World-Records-Top-Incredible/dp/0439810574,success,
9.78145E+12,Disney Flashcards: Princess,Parragon Book Service Ltd,1/1/2011,,Cards,English,,1445415518,9.78145E+12,10.6,,,,4,1,,,,4,,,,,,https://www.amazon.com/Disney-Flashcards-Princess/dp/1445415518,success,
9.78194E+12,Kumon Pre-K & Up Logic (Kumon Thinking Skills Workbooks),Kumon Publishing North America,14/8/2015,Kumon Thinking Skills Workbooks,Paperback,English,80,1941082246,9.78194E+12,12,12,8.5,0.25,4.7,609,In Stock,6.99,54829,4.7,3.5,Workbook,Kumon,,"Introduce your child to logical problem solving with our Thinking Skills Logic Workbook. They will fall in love with learning while making comparisons, completing patterns, determining real versus pretend, and drawing conclusions.Our thinking skills workbooks strengthen critical thinking skills that are crucial for a lifetime of success. Through a variety of fun and colorful activities, children gradually master spatial reasoning, differentiation, logic, and creativity. Your child will advance without being overwhelmed or frustrated with our uniquely effective and gradual step-by-step progression.  Read more",https://www.amazon.com/Logic-Grade-Thinking-Skills-Workbooks/dp/1941082246,success,
9.78141E+12,Peppa Pig: Peppa's Snowy Fun [Board book] Ladybird,LADYBIRD,25/9/2009,Peppa Pig,Board book,English,16,1409304612,9.78141E+12,7.7,6.93,6.93,0.55,4.7,63,Only 3 left in stock - order soon.,4.92,5109751,4.7,,,Ladybird,,"BRAND NEW, Exactly same ISBN as listed, Please double check ISBN carefully before ordering.  Read more",https://www.amazon.com/Peppa-Pig-Peppas-Snowy-Fun/dp/1409304612,success,
9.78157E+12,Barney And BJ Go To The Zoo,Scholastic,1/1/1999,,Paperback,English,24,1570644462,9.78157E+12,2.4,8.25,8,0.25,3.9,24,,8.18,1299385,3.9,6,,Publishing Lyrick,,"Barney takes BJ to the zoo, where they see lions, monkeys, flamingos, rhinos, and other animals  Read more",https://www.amazon.com/Barney-BJ-Zoo-Publishing-Lyrick/dp/1570644462,success,
,,,,,,,,,,,,,,4.7,,,,,,,,,,,https://www.amazon.com/Comprehension-and-Critical-Thinking-6-book-series/dp/B0D4QFYBYD,fail,
9.78276E+12,"Thomas & Friends Spills & Thrills Read & Doodle - Learning resources for kids, a magnetic drawing pad, an easy-to-use pen, 22-page board book for reading and drawing",Phidal Publishing Inc.,21/12/2020,,Board book,English,22,276435097X,9.78276E+12,13.4,13.15,8.22,1.08,4.3,11,Only 1 left in stock - order soon.,14.99,1684378,4.3,3,Kids Edition,Phidal Publishing Inc.,2764324472,"Ready, set, and draw your favorite characters or objects from Thomas & Friends Spills & Thrills! Our Read & Doodle helps children develop fine motor skills in the company of familiar faces.Phidal Publishing Children's Read & Doodle offers a creative experience that includes a fun story, step-by-step instructions, a magnetic pen, and an erasable magnetic doodle/drawing pad that can be used again and again!Practice pen control and learn how to write by drawing letters, numbers and a multitude of objects.Easy to follow directions provided: Use the magnetic pen to trace the image that you see on the page. Once you’re done, slide the tab to slowly erase your picture from the doodle/drawing pad. Then start again!Ideal for road trips, airplane rides, rainy days, and family travels. Also a perfect gift for any occasion such as Christmas, New Year, Easter, Holidays, Birthdays, Back to School and more! Suitable for children aged 3+Phidal Publishing has been the leader in children’s story books, busy books, sticker books, and more for over 20 years. We pride ourselves in creating high quality, engaging books and games for children aged 3 and up. Choose from hundreds of titles in our collections from our best-selling Busy Books and Little Classics to our Read & Doodle!© Gullane (Thomas) Limited.Features:ENGAGING LEARNING, READING AND DRAWING for KIDS: Our Read & Doodle helps children improve their hand-eye coordination and learn how to write/ draw while having fun with our activity book!MAGNETIC PEN AND DOODLE/DRAWING PAD: Includes magnetic pen and an erasable magnetic doodle/drawing pad that can be reused for many drawings and sketches from Thomas & Friends Spills & Thrills!PERFECT GIFT: Great for kids as gifts on occasions like Christmas, New Year, Easter, Holidays, Birthdays, Back to School and more!SCREEN FREE FUN and PLAY: Perfect to enhance your child's creativity with collaborative learning, while reducing screen time on electronic devices!EASY to CARRY: Portable to take on the go while traveling or when outside the home with easy to use pen storage and handle.  Read more",https://www.amazon.com/Thomas-Friends-Spills-Thrills-Learning/dp/2764324472,success,
9.78134E+12,Dog Man: A Tale of Two Kitties: A Graphic Novel (Dog Man #3): From the Creator of Captain Underpants (3),Graphix,3/8/2021,,Kindle,English,256,1338741055,9.78134E+12,36.96,8.5,5.75,0.75,4.8,21275,In Stock,7.99,657,4.8,7,,Dav Pilkey,,"A cute kitten disrupts Petey's plans in the third Dog Man book from worldwide bestselling author and artist Dav Pilkey.He was the best of dogs... He was the worst of dogs... It was the age of invention... It was the season of surprise... It was the eve of supa sadness... It was the dawn of hope... Dog Man hasn't always been a paws-itive addition to the police force. While he can muzzle miscreants, he tends to leave a slick of slobber in his wake! This time, Petey the Cat's dragged in a tiny bit of trouble -- a double in the form of a kitten clone. Dog Man will have to work twice as hard to bust these furballs and remain top dog!Dav Pilkey's wildly popular Dog Man series appeals to readers of all ages and explores universally positive themes, including empathy, kindness, persistence, and the importance of being true to one's self.  Read more",https://www.amazon.com/Dog-Man-Kitties-Creator-Underpants/dp/1338741055,success,
9.78081E+12,My Friends (Taro Gomi),Chronicle Books,7/7/2005,Taro Gomi,Kindle,English,34,811847861,9.78081E+12,36.96,6,4.9,0.85,4.7,504,In Stock,0,47939,4.7,2,,Taro Gomi,,"Using simple words and bright illustrations, author-illustrator Taro Gomi shows children that sometimes knowledge can come from all kinds of friends.  Read more",https://www.amazon.com/My-Friends-Taro-Gomi/dp/0811847861,success,
9.78145E+12,Disney Make it Sparkly - Dress-Up Doll Book: Help the princesses find their party style!,Parragon Book Service Ltd,1766-01-01,,Paperback,English,,1445468344,9.78145E+12,8.4,11.81,9.45,0.2,4.3,42,,15.62,,4.3,,,,,,https://www.amazon.com/Disney-Make-Sparkly-Dress-Up-princesses/dp/1445468344,success,
,"The World of Eric Carle Deluxe Poster Paint & Color - Coloring Book for kids, 80 illustrations, 10 watercolor paints, 12 crayons, 1 paint brush (Deluxe Poster and Paint)",,,,,,,,,,,,,4.6,28,In Stock,,,4.6,,,Phidal Publishing Inc.,,"Use your paints and crayons to color Brown Bear, Red Bird, Mister Seahorse, and other animal friends. Play the games to trace, spot, count, and more!Our collection of deluxe poster paint with water coloring books combines story with art with full images and games to create the ultimate imagination-driven experience.Use your paintbrush and crayons to add a personal touch to every page!These paint with water activity books provide children with an opportunity to fully immerse themselves in the storybook world and help teach color recognition while improving hands-on skills and hand-eye coordination.Ideal for road trips, airplane rides, rainy days and family travels while also a perfect gift for any occasion such as birthdays, holidays and and more! Suitable for Children aged 3+ Our spiral bound deluxe poster paint with water coloring books includes 80 pages of illustrations, 10 watercolor paints, a paint brush and 12 crayons. Easy to use directions: Simply wet the paintbrush, moisten the paint palette, and fill in the pictures or pop out the crayons to color. The tear out pages showcase your little artist’s masterpieces in a snap! Phidal Publishing has been the leader in children’s books, busy books, sticker books and more for over 20 years. We pride ourselves on top quality engaging books and games for children aged 3 and up. Choose from over hundreds of collections from our best selling busy books and little classics to our new sticker book treasuries!© Eric CarleFeatures:ENGAGING ACTIVITIES for KIDS: Our deluxe poster helps teach children and kids color recognition while improving hands-on skills and hand-eye coordination!FULL COLORING PAGES with BRUSH: includes 80 pages of illustrations, 10 watercolor paints, a paint brush and 12 crayons. Use your paintbrush and crayons to add a personal touch to every page.PERFECT GIFT: For kids and children on holidays like Christmas, Easter, Valentine's Day, birthdays, and more!SCREEN FREE FUN and PLAY: Perfect to enhance your child's creativity and artistic side with collaborative learning while reducing electronic device screen time! EASY SETUP and TEAR: Easy setup with tear out pages that showcases your little artist’s masterpieces in a snap with portability and convenience.  Read more",https://www.amazon.com/World-Carle-Deluxe-Poster-Paint/dp/2764336713,fail,
9.7806E+12,Storybook for Everyday of the Week,Dean & Son,,,Board book,English,84,603563333,9.7806E+12,28.96,7.68,4.13,3.78,3.9,7,,,,3.9,,,,,Thomas and A Storybook for Everyday of the Week (Dean One a Day Boxed Set)  Read more,https://www.amazon.com/Thomas-Friends-Storybook-Everyday-Week/dp/0603563333,success,
9.78075E+12,Fur and Feathers,Kingfisher,1/1/2012,,Paperback,English,32,9.78075E+12,9.78075E+12,2.75,9.02,5.87,0.16,,,,4.2,,,,,Claire Llewellyn,753430886,"For the first time, Kingfisher brings its expertise in beautifully-designed, trusted non-fiction to the sphere of learning to read. This new graded reading series will grip children's interest. Developed with literacy experts, the five-level series will guide young readers as they build confidence and fluency in their literacy skills and progress towards reading alone.  Read more",https://www.amazon.com/Fur-Feathers-Claire-Llewellyn/dp/0753430886,success,
9.78141E+12,Emily Tsl 25 (Thomas Story Library),Egmont Childrens Books,1/1/2008,Thomas Story Library,Paperback,English,34,1405234717,9.78141E+12,2.08,,,,4.6,11,Only 6 left in stock - order soon.,7.2,,4.6,,,,,THIS IS BRAND NEW BOOK.WE PROVIDE 100% CUSTOMER SATISFACTION.  Read more,https://www.amazon.com/Emily-Tsl-Thomas-Story-Library/dp/1405234717,success,
9.78147E+12,Disney Sofia the First the Floating Palace Deluxe Picture Book,Paragon Books Ltd,1/1/2014,,Paperback,English,40,1472356535,9.78147E+12,8,11.22,8.98,0.16,4.2,21,In stock,7.12,5654176,4.2,,,Walt Disney Company,,,https://www.amazon.com/Disney-Floating-Palace-Deluxe-Picture/dp/1472356535,success,
9.78141E+12,Peppa Pig Fairy Tale Little Library,LADYBIRD,1/1/2000,,Paperback,English,60,1409306178,9.78141E+12,5.7,3.66,3.66,2.05,4.5,25336,In Stock,49.78,601225,4.5,2,,Ladybird,,"The perfect book collection for the littlest readers! This little library is a great gift for fans of Peppa and fairy tales. Perfect for pre-school aged little readers, this is a charming collection of mini fairy tale classics with everyone''s favourite Peppa Pig characters, presented in a beautiful slipcase box.Join Princess Peppa and Prince George in their wonderful fairy tale castle up in the clouds and read their stories time and time again.The backs of the six books make a jigsaw; perfect to keep little hands busy!Titles available from Ladybird include: Peppa Pig Little Library and Peppa Pig Bedtime Little Library  Read more",https://www.amazon.com/Peppa-Pig-Fairy-Little-Library/dp/1409306178,success,
9.78276E+12,Disney Princess Great Adventures My Busy Book,Phidal Publishing Inc.,13/12/2020,,Board book,English,10,2764333064,9.78276E+12,36.96,10.24,8.07,1.77,4.6,931,In Stock,13.72,832538,4.6,3,Kids Edition,Phidal Publishing Inc.,,Disney Princess Great Adventures My Busy Book  Read more,https://www.amazon.com/Disney-Princess-Great-Adventures-Busy/dp/2764333064,success,
9.78092E+12,Cinderella Dressed In Yellow (Fun and Fantasy Learn to Read),Creative Teaching Pr,1/1/1998,,Paperback,English,16,916119688,9.78092E+12,1.6,8.5,6,0.25,3.9,11,Only 5 left in stock - order soon.,1.38,2875999,3.9,5.5,,"Rozanne Lanczak Williams, Tuko Fujisaki",,"Cinderella has been busy! What did she do? Literacy Concepts Sight Words Phonics Rhyme Rhythm in went to her how many did he Consonant blend /dr/, as in dress Rhyming words, such as red and head Vocabulary Words Related Learning Skills kisses bumps shoes scoops red yellow green blue gray home runs Counting with tally marks Recognizing that an -s or an -es is added to some words to make them plural, such as when bump becomes bumps and kiss becomes kisses Recognizing punctuation: question mark From the best-selling Learn to Read series Teachers and parents the world over can't be wrong! This popular and time-tested series has sold more than 20 million copies. Instill the love of reading and build self-confidence in young readers with these lively stories. Tied to content subject areas including math, science, and social studies, the 108 leveled readers in the series make the perfect compliment to any beginning reading program. Increase fluency, build vocabulary, and improve sight word knowledge with natural language, strong picture support, and easy-to-read repetitive text all while helping young readers master important early learning concepts tied directly to Common Core standards. Fiction: This book is a fiction book.  Read more",https://www.amazon.com/Cinderella-Dressed-Yellow-Fantasy-Learn/dp/0916119688,success,
9.78174E+12,Sing-along Christmas Carols Book and Cd (2012-10-01),Hinkler Books,1851-01-01,,Hardcover,English,9,1743088515,9.78174E+12,25.6,11.42,8.86,0.47,3.8,14,Only 1 left in stock - order soon.,13.37,3706244,3.8,,,,,Christmas carol book with CD.  Read more,https://www.amazon.com/Sing-Along-Christmas-Carols/dp/1743088515,success,
9.78038E+12,Stuck in the Mud (Thomas & Friends) (Step into Reading),Random House Books for Young Readers,11/8/2009,Step into Reading,Library Binding,English,32,375861777,9.78038E+12,2.57,9,6,0.11,4.7,280,Only 4 left in stock - order soon.,26.14,202739,4.7,3,Illustrated,"Shana Corey, Richard Courtney",,"Based on the new Thomas & Friends direct-to-DVD movie, Hero of the Rails, this Step 1 leveled reader will introduce children to reading—and the exciting world of Thomas and his friends!  Read more",https://www.amazon.com/Stuck-Thomas-Friends-Step-Reading/dp/0375861777,success,
9.78145E+12,Disney CD Read Along: Alice in Wonderland,Parragon Book Service Ltd,16/10/2010,,Hardcover,English,,1445407221,9.78145E+12,4.8,,,,2.7,3,In stock,17.61,7064108,2.7,,,Randy Thornton,,,https://www.amazon.com/Disney-CD-Read-Along-Wonderland/dp/1445407221,success,
9.78134E+12,"Captain Underpants and the Big, Bad Battle of the Bionic Booger Boy, Part 2: The Revenge of the Ridiculous Robo-Boogers: Color Edition (Captain Underpants #7): From the Creator of Dog Man",Scholastic Inc.,7/3/2023,,Kindle,English,176,1338864351,9.78134E+12,36.96,8.5,5.75,0.75,4.8,4169,In Stock,5.58,13791,4.8,7,Color,Dav Pilkey,,"Bionic boogers return in the seventh book in this #1 New York Times bestselling series by Dav Pilkey, the author and illustrator of Dog Man!George and Harold thought they were beyond boogers. Their new pet, Sulu the Bionic Hamster, had defeated the Bionic Booger Boy, and through the wonders of science, Melvin Sneedly had been brought back to normal (well, almost normal). It looked like their last adventure was actually going to have a happy ending... except for one thing (well, three things) -- the Ridiculous Robo-Boogers. Now George, Harold, and their buddies are on the run -- with the Robo-Boogers in hot, gooey pursuit! Will the boys get away from these gross globs, or will Sulu have to save the day again?  Read more",https://www.amazon.com/Captain-Underpants-Battle-Bionic-Booger/dp/1338864351,success,
9.78141E+12,Lift the Flap Shapes,Usborne Publishing Ltd,12/1/2015,Lift-the-flap Maths,Hardcover,English,16,9.78141E+12,9.78141E+12,10.4,10.2,8.74,0.71,4.7,80,Only 4 left in stock - order soon.,24.97,1684270,4.7,4,,Felicity Brooks,1409582515,"An interactive way for preschool children to learn about different geometric shapes and what they are called. With lots to spot and talk about, this is a brilliant book for sharing, and encourages vital pre-maths skills including matching, counting and shape recognition.  Read more",https://www.amazon.com/Lift-Flap-Shapes-Howard-Hughes/dp/1409582515,success,
9.78154E+12,"Lindsey Stirling Selections from Warmer in the Winter | Violin Play-Along Vol. 72 with Online Audio | Holiday Sheet Music for Violin Solo | Christmas ... (Hal-Leonard Violin Play-along, 72)",Hal Leonard,1/12/2017,,Kindle Edition with Audio/Video,English,24,1540014657,9.78154E+12,,12,9,0.11,4.8,88,In Stock,16.76,96649,4.8,,,Lindsey Stirling,,"Bring Joy to the Holidays with Lindsey Stirlings Christmas Violin Collection * Celebrate the season with Lindsey Stirling Warmer in the Winter, a festive volume in the Violin Play-Along series. Designed for intermediate violinists, this songbook includes eight popular holiday arrangements from Lindsey's 2017 Christmas album. * * Perfect Your Performance with Professional Accompaniment * Each piece comes with online backing tracks to help you rehearse and perform confidently. PLAYBACK+ audio tools allow players to loop sections, adjust tempo, or isolate audio partsperfect for targeted practice at home or in the classroom. * * Includes Lindsey Stirling's Unique Holiday Arrangements * Featuring stylized arrangements of beloved classics and modern hits, this collection captures the energy and elegance of Lindseys signature sound. Melody and lyrics are included, allowing for optional sing-alongs. * * A Thoughtful Gift or Teacher-Approved Resource * Whether you're a violin student preparing for a seasonal recital or a music teacher curating your holiday curriculum, this book is a versatile addition to any collection. It also makes a thoughtful gift for violinists and fans of Lindsey Stirling alike. * * Songs Included: * All I Want For Christmas Is You * Christmas C'mon * Jingle Bell Rock * Let It Snow! Let It Snow! Let It Snow! * Time To Fall In Love * Warmer In The Winter * We Three Gentlemen * You're A Mean One, Mr. Grinch.  Read more",https://www.amazon.com/Lindsey-Stirling-Selections-Play-Along-Hal-Leonard/dp/1540014657,success,
9.78149E+12,School Zone Beginning Sight Words Flash Cards (new cover),Hinkler Books,,,Paperback,English,,1488933626,9.78149E+12,5.6,5.24,2.95,2.05,,,,,,,,,,,,https://www.amazon.com/School-Beginning-Sight-Words-Flash/dp/1488933626,success,
